date,q.arkrocco,h.arkrocco,p.arkrocco
2/25/2001,39.6,1.58,NA
2/26/2001,39.6,1.58,NA
2/27/2001,39.6,1.58,NA
2/28/2001,39.6,1.58,NA
3/1/2001,39.6,1.58,NA
3/2/2001,39.6,1.58,NA
3/3/2001,41.7,1.59,NA
3/4/2001,42.5,1.6,NA
3/5/2001,42.5,1.6,NA
3/6/2001,45.8,1.62,NA
3/7/2001,46.2,1.62,NA
3/8/2001,48.9,1.64,NA
3/9/2001,45,1.61,NA
3/10/2001,45.2,1.62,NA
3/11/2001,42.4,1.6,NA
3/12/2001,50.9,1.65,NA
3/13/2001,59.3,1.7,NA
3/14/2001,61.5,1.71,NA
3/15/2001,82.7,1.82,NA
3/16/2001,114,1.97,NA
3/17/2001,106,1.94,NA
3/18/2001,84.8,1.84,NA
3/19/2001,86.7,1.81,NA
3/20/2001,93.1,1.8,NA
3/21/2001,136,1.97,NA
3/22/2001,150,2.02,NA
3/23/2001,166,2.07,NA
3/24/2001,169,2.08,NA
3/25/2001,177,2.1,NA
3/26/2001,172,2.09,NA
3/27/2001,168,2.08,NA
3/28/2001,171,2.09,NA
3/29/2001,151,2.03,NA
3/30/2001,140,1.99,NA
3/31/2001,148,2.01,NA
4/1/2001,158,2.05,NA
4/2/2001,133,1.96,NA
4/3/2001,111,1.88,NA
4/4/2001,96.9,1.82,NA
4/5/2001,87,1.77,NA
4/6/2001,142,1.87,NA
4/7/2001,249,2.05,NA
4/8/2001,236,2.02,NA
4/9/2001,219,1.99,NA
4/10/2001,240,2.03,NA
4/11/2001,325,2.18,NA
4/12/2001,552,2.51,NA
4/13/2001,467,2.4,NA
4/14/2001,415,2.33,NA
4/15/2001,321,2.18,NA
4/16/2001,256,2.06,NA
4/17/2001,176,1.87,NA
4/18/2001,207,1.96,NA
4/19/2001,262,2.07,NA
4/20/2001,244,2.04,NA
4/21/2001,211,1.97,NA
4/22/2001,97.6,36.73,NA
4/23/2001,193,2.11,NA
4/24/2001,214,2.22,NA
4/25/2001,228,2.26,NA
