agency,site,date,q.timswico,check
USGS,7121500,11/9/2000,104,A
USGS,7121500,11/10/2000,97,A
USGS,7121500,11/11/2000,106,A
USGS,7121500,11/12/2000,126,A
USGS,7121500,11/13/2000,132,A
USGS,7121500,11/14/2000,137,A
USGS,7121500,11/15/2000,92,A
USGS,7121500,11/16/2000,71,A
USGS,7121500,11/17/2000,60,A
USGS,7121500,11/18/2000,56,A
USGS,7121500,11/19/2000,53,A
USGS,7121500,11/20/2000,48,A
USGS,7121500,11/21/2000,46,A
USGS,7121500,11/22/2000,49,A
USGS,7121500,11/23/2000,29,A
USGS,7121500,11/24/2000,24,A
USGS,7121500,11/25/2000,24,A
USGS,7121500,11/26/2000,22,A
USGS,7121500,11/27/2000,22,A
USGS,7121500,11/28/2000,22,A
USGS,7121500,11/29/2000,21,A
USGS,7121500,11/30/2000,21,A
USGS,7121500,12/1/2000,20,A
USGS,7121500,12/2/2000,20,A
USGS,7121500,12/3/2000,26,A
USGS,7121500,12/4/2000,22,A
USGS,7121500,12/5/2000,21,A
USGS,7121500,12/6/2000,20,A
USGS,7121500,12/7/2000,20,A
USGS,7121500,12/8/2000,20,A
USGS,7121500,12/9/2000,20,A
USGS,7121500,12/10/2000,20,A
USGS,7121500,12/11/2000,20,A
USGS,7121500,12/12/2000,19,A
USGS,7121500,12/13/2000,19,A
USGS,7121500,12/14/2000,19,A
USGS,7121500,12/15/2000,19,A
USGS,7121500,12/16/2000,19,A
USGS,7121500,12/17/2000,19,A
USGS,7121500,12/18/2000,21,A
USGS,7121500,12/19/2000,19,A
USGS,7121500,12/20/2000,19,A
USGS,7121500,12/21/2000,19,A
USGS,7121500,12/22/2000,19,A
USGS,7121500,12/23/2000,19,A
USGS,7121500,12/24/2000,19,A
USGS,7121500,12/25/2000,19,A
USGS,7121500,12/26/2000,19,A
USGS,7121500,12/27/2000,19,A
USGS,7121500,12/28/2000,19,A
USGS,7121500,12/29/2000,19,A
USGS,7121500,12/30/2000,19,A
USGS,7121500,12/31/2000,19,A
USGS,7121500,1/1/2001,18,A
USGS,7121500,1/2/2001,18,A
USGS,7121500,1/3/2001,18,A
USGS,7121500,1/4/2001,18,A
USGS,7121500,1/5/2001,18,A
USGS,7121500,1/6/2001,18,A
USGS,7121500,1/7/2001,18,A
USGS,7121500,1/8/2001,18,A
USGS,7121500,1/9/2001,17,A
USGS,7121500,1/10/2001,17,A
USGS,7121500,1/11/2001,16,A
USGS,7121500,1/12/2001,16,A
USGS,7121500,1/13/2001,16,A
USGS,7121500,1/14/2001,16,A
USGS,7121500,1/15/2001,16,A
USGS,7121500,1/16/2001,17,A
USGS,7121500,1/17/2001,16,A
USGS,7121500,1/18/2001,16,A
USGS,7121500,1/19/2001,16,A
USGS,7121500,1/20/2001,16,A
USGS,7121500,1/21/2001,16,A
USGS,7121500,1/22/2001,16,A
USGS,7121500,1/23/2001,16,A
USGS,7121500,1/24/2001,15,A
USGS,7121500,1/25/2001,15,A
USGS,7121500,1/26/2001,15,A
USGS,7121500,1/27/2001,16,A
USGS,7121500,1/28/2001,15,A
USGS,7121500,1/29/2001,15,A
USGS,7121500,1/30/2001,15,A
USGS,7121500,1/31/2001,15,A
USGS,7121500,2/1/2001,15,A
USGS,7121500,2/2/2001,15,A
USGS,7121500,2/3/2001,15,A
USGS,7121500,2/4/2001,15,A
USGS,7121500,2/5/2001,15,A
USGS,7121500,2/6/2001,15,A
USGS,7121500,2/7/2001,16,A
USGS,7121500,2/8/2001,16,A
USGS,7121500,2/9/2001,15,A
USGS,7121500,2/10/2001,15,A
USGS,7121500,2/11/2001,15,A
USGS,7121500,2/12/2001,15,A
USGS,7121500,2/13/2001,15,A
USGS,7121500,2/14/2001,15,A
USGS,7121500,2/15/2001,15,A
USGS,7121500,2/16/2001,14,A
USGS,7121500,2/17/2001,14,A
USGS,7121500,2/18/2001,14,A
USGS,7121500,2/19/2001,14,A
USGS,7121500,2/20/2001,16,A
USGS,7121500,2/21/2001,16,A
USGS,7121500,2/22/2001,17,A
USGS,7121500,2/23/2001,17,A
USGS,7121500,2/24/2001,16,A
USGS,7121500,2/25/2001,16,A
USGS,7121500,2/26/2001,16,A
USGS,7121500,2/27/2001,16,A
USGS,7121500,2/28/2001,16,A
USGS,7121500,3/1/2001,16,A
USGS,7121500,3/2/2001,16,A
