Date/Time	DISCHRG (cfs)	GAGE_HT (ft)
7/15/2000 0:00	251	2.1
7/16/2000 0:00	258	2.14
7/17/2000 0:00	259	2.15
7/18/2000 0:00	252	2.11
7/19/2000 0:00	256	2.13
7/20/2000 0:00	257	2.14
7/21/2000 0:00	258	2.14
7/22/2000 0:00	249	2.1
7/23/2000 0:00	250	2.1
7/24/2000 0:00	214	1.9
7/25/2000 0:00	170	1.65
7/26/2000 0:00	170	1.65
7/27/2000 0:00	188	1.76
7/28/2000 0:00	222	1.95
7/29/2000 0:00	225	1.97
7/30/2000 0:00	226	1.97
7/31/2000 0:00	244	2.06
8/1/2000 0:00	272	2.21
8/2/2000 0:00	271	2.21
8/3/2000 0:00	270	2.21
8/4/2000 0:00	272	2.21
8/5/2000 0:00	270	2.2
8/6/2000 0:00	275	2.23
8/7/2000 0:00	270	2.2
8/8/2000 0:00	270	2.2
8/9/2000 0:00	292	2.32
8/10/2000 0:00	324	2.47
8/11/2000 0:00	323	2.47
8/12/2000 0:00	323	2.47
8/13/2000 0:00	324	2.47
8/14/2000 0:00	322	2.46
8/15/2000 0:00	320	2.45
8/16/2000 0:00	325	2.48
8/17/2000 0:00	318	2.44
8/18/2000 0:00	302	2.36
8/19/2000 0:00	327	2.49
8/20/2000 0:00	323	2.46
8/21/2000 0:00	323	2.47
8/22/2000 0:00	323	2.47
8/23/2000 0:00	321	2.46
8/24/2000 0:00	321	2.45
8/25/2000 0:00	320	2.45
8/26/2000 0:00	318	2.44
8/27/2000 0:00	318	2.44
8/28/2000 0:00	320	2.45
8/29/2000 0:00	320	2.45
8/30/2000 0:00	321	2.45
8/31/2000 0:00	315	2.43
9/1/2000 0:00	321	2.45
9/2/2000 0:00	323	2.47
9/3/2000 0:00	322	2.46
9/4/2000 0:00	321	2.46
9/5/2000 0:00	281	2.25
9/6/2000 0:00	220	1.94
9/7/2000 0:00	220	1.94
9/8/2000 0:00	218	1.93
9/9/2000 0:00	219	1.94
9/10/2000 0:00	219	1.94
9/11/2000 0:00	219	1.94
9/12/2000 0:00	200	1.83
9/13/2000 0:00	172	1.66
9/14/2000 0:00	172	1.66
9/15/2000 0:00	171	1.66
9/16/2000 0:00	170	1.65
9/17/2000 0:00	169	1.65
9/18/2000 0:00	173	1.67
9/19/2000 0:00	154	1.54
9/20/2000 0:00	123	1.35
9/21/2000 0:00	125	1.36
9/22/2000 0:00	123	1.35
9/23/2000 0:00	126	1.37
9/24/2000 0:00	128	1.38
9/25/2000 0:00	127	1.38
9/26/2000 0:00	124	1.35
9/27/2000 0:00	125	1.36
9/28/2000 0:00	125	1.36
9/29/2000 0:00	124	1.35
9/30/2000 0:00	120	1.33
10/1/2000 0:00	122	1.34
10/2/2000 0:00	126	1.36
10/3/2000 0:00	143	1.47
10/4/2000 0:00	172	1.66
10/5/2000 0:00	172	1.66
10/6/2000 0:00	172	1.66
10/7/2000 0:00	171	1.65
10/8/2000 0:00	170	1.65
10/9/2000 0:00	152	1.54
10/10/2000 0:00	123	1.34
10/11/2000 0:00	122	1.34
10/12/2000 0:00	107	1.22
10/13/2000 0:00	92.8	1.04
10/14/2000 0:00	-520.3	52.08
10/15/2000 0:00	 	99.99
10/16/2000 0:00	-669.8	67.84
10/17/2000 0:00	33.1	0.56
10/18/2000 0:00	52	0.76
10/19/2000 0:00	38.8	0.65
10/20/2000 0:00	47	0.74
10/21/2000 0:00	43.7	0.71
10/22/2000 0:00	47.4	0.74
10/23/2000 0:00	29.8	0.49
10/24/2000 0:00	10.3	0.24
10/25/2000 0:00	17.6	0.4
10/26/2000 0:00	83.6	1.04
10/27/2000 0:00	57.4	0.79
10/28/2000 0:00	30.5	0.55
10/29/2000 0:00	44.5	0.71
10/30/2000 0:00	73	0.94
10/31/2000 0:00	149	1.52
11/1/2000 0:00	113	1.17
11/2/2000 0:00	0.05	0.01
11/3/2000 0:00	0.03	0.01
11/4/2000 0:00	0	0
11/5/2000 0:00	-395.4	39.58
11/6/2000 0:00	 	99.99
11/7/2000 0:00	 	99.98
11/8/2000 0:00	 	99.04
11/9/2000 0:00	 	99.97
11/10/2000 0:00	 	99.96
11/11/2000 0:00	 	99.96
11/12/2000 0:00	 	99.95
11/13/2000 0:00	 	99.95
11/14/2000 0:00	 	99.94
11/15/2000 0:00	 	99.94
11/16/2000 0:00	 	99.94
11/17/2000 0:00	 	99.93
11/18/2000 0:00	 	99.93
11/19/2000 0:00	 	99.93
11/20/2000 0:00	 	99.92
11/21/2000 0:00	 	99.92
11/22/2000 0:00	 	99.92
11/23/2000 0:00	 	99.91
11/24/2000 0:00	 	99.91
11/25/2000 0:00	 	99.91
11/26/2000 0:00	 	99.9
11/27/2000 0:00	 	99.9
11/28/2000 0:00	 	99.9
11/29/2000 0:00	 	99.89
11/30/2000 0:00	 	99.89
12/1/2000 0:00	 	99.89
12/2/2000 0:00	 	99.89
12/3/2000 0:00	 	99.88
12/4/2000 0:00	 	99.88
12/5/2000 0:00	 	99.88
12/6/2000 0:00	 	99.88
12/7/2000 0:00	 	99.87
12/8/2000 0:00	 	99.87
12/9/2000 0:00	 	99.87
12/10/2000 0:00	 	99.87
12/11/2000 0:00	 	99.86
12/12/2000 0:00	 	99.86
12/13/2000 0:00	 	99.86
12/14/2000 0:00	 	99.86
12/15/2000 0:00	 	99.85
12/16/2000 0:00	 	99.85
12/17/2000 0:00	 	99.85
12/18/2000 0:00	 	99.85
12/19/2000 0:00	 	99.84
12/20/2000 0:00	 	99.84
12/21/2000 0:00	 	99.84
12/22/2000 0:00	 	99.84
12/23/2000 0:00	 	99.83
