point,date,trip,study.region,water.source,sample.freq,dry,low.stagnt,sample.only,damaged,not.found,no.access,duplicate.taken,comment,field.depth.to.water.m,field.pump.flow.mL.min,field.temp.C,field.ec.uS.cm,field.DO.mg.L,field.pH,field.ORP.mV,TA.U.ug.L,D.TA.U.ug.L,SDSU.Se.ug.L,D.SDSU.Se.ug.L,SDUS.SeO3.ug.L,D.SDSU.SeO3.ug.L,SDSU.SeO4.ug.L,D.SDSU.SeO4.ug.L,SDSU.SeTREC.ug.L,D.SDSU.SeTREC.ug.L,SDSU.Fe.mg.L,D.SDSU.Fe.mg.L,SDSU.FeTREC.mg.L,D.SDSU.FeTREC.mg.L,Ward.pH,Ward.SAR,Ward.Adjusted.SAR,Ward.TDS.Est,Ward.EC,Ward.Cations,Ward.Anions,Ward.Sodium,Ward.Calcium,Ward.Magnesium,Ward.Potassium,Ward.Total.Hardness,Ward.Nitrate,Ward.Sulfur,Ward.CO3,Ward.HCO3,Ward.Chloride,Ward.Total.Alkalinity,Ward.Boron,Ward.Fluoride,Ward.Silica,Ward.Total.Nitrogen,Ward.Ammonium..NH4.,Ward.Ortho.P,Ward.Total.P,Ward.Zinc,Ward.Dissolved.Fe,Ward.Total.Fe,Ward.Manganese,Ward.Copper,Ward.Aluminum,Ward.Total.Solids,Ward.Total.Dissolved.Solids,Ward.Total.Suspended.Solids,Ward.Nitrite,Ward.Molybdenum,Ward.Total.Organic.Carbon.ppm,D.Ward.pH,D.Ward.SAR,D.Ward.Adjusted.SAR,D.Ward.TDS.Est,D.Ward.EC,D.Ward.Cations,D.Ward.Anions,D.Ward.Sodium,D.Ward.Calcium,D.Ward.Magnesium,D.Ward.Potassium,D.Ward.Total.Hardness,D.Ward.Nitrate,D.Ward.Sulfur,D.Ward.CO3,D.Ward.HCO3,D.Ward.Chloride,D.Ward.Total.Alkalinity,D.Ward.Boron,D.Ward.Fluoride,D.Ward.Silica,D.Ward.Total.Nitrogen,D.Ward.Ammonium..NH4.,D.Ward.Ortho.P,D.Ward.Total.P,D.Ward.Zinc,D.Ward.Dissolved.Fe,D.Ward.Total.Fe,D.Ward.Manganese,D.Ward.Copper,D.Ward.Aluminum,D.Ward.Total.Solids,D.Ward.Total.Dissolved.Solids,D.Ward.Total.Suspended.Solids,D.Ward.Nitrite,D.Ward.Molybdenum,D.Ward.Total.Organic.Carbon.ppm,calc.cat.an,calc.cat.meq,calc.an.meq,calc.cat.an.pct.dif,calc.TDS,calc.TDS.pct.dif,calc.NO3,calc.SO4
387,8/27/2009,46,D,W,R,,,,,,,,,3.2,,17.7,9745,1.46,6.75,116.3,235,,99.2,,,,,,,,,,,,7.5,11.5,14,,8.21,,,1432,513,400,26,2949,64.5,1354,1,469,768,384,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,120.3,117.5,1.2,7951,,285,4056.6
388,8/27/2009,46,D,W,N,,,,,,,,,1.58,,17.4,3412,0.47,6.83,1052,61.9,,10.5,,,,,,,,,,,,7.6,4.6,5.9,,3.02,,,379,283,134,7,1266,1,521,1,312,87,255,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,41.5,39.8,2.1,2769,,4,1560.9
392,8/27/2009,46,D,W,N,,,,,,,,,4.63,,17.59,2860,4.1,6.66,115.6,78.1,,22.9,,,,,,,,,,,,7.4,5.7,7.3,,4.03,,,571,385,219,31,1875,1.4,838,1,469,79,384,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,62.3,61.8,0.5,4273,,6,2510.6
393,8/27/2009,46,D,W,R,,,,,,,,,1.71,,15.9,6511,0.49,6.72,111.8,136,,28.9,,,,,,,,,,,,7.4,8.2,10.3,,5.51,,,936,460,316,18,2467,3.9,1226,1,536,183,439,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,89.3,90,-0.4,6142,,17,3673.1
397,8/27/2009,46,D,W,R,,,,,,,,,2.41,,19.18,4937,4.05,6.43,114,97.4,,59,,,,,,,,,,,,7.1,6.6,8.1,,4.89,,,720,412,293,10,2251,6.3,998,1,360,206,295,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,75.6,73.9,1.1,5021,,28,2990
400,8/27/2009,46,D,W,R,,,,,,,,,5.21,,17.16,2271,1.8,6.81,86.9,68,,19.2,,,,,,,,,,,,7.5,4.5,6.4,,3.77,,,460,507,162,20,1943,4,800,1,336,109,275,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,58.8,58.3,0.4,4010,,18,2396.8
401,8/27/2009,46,D,W,R,,,,,,,,,1.65,,16.79,3853,1.24,6.48,91.6,78.9,,5,,,,,,,,,,,,7.1,9.5,12.8,,6.02,,,1047,521,237,11,2290,1,1049,1,530,579,434,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,90.6,89.8,0.4,6073,,4,3142.8
301A,8/28/2009,46,D,W,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303A,8/28/2009,46,D,W,D,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304A,8/28/2009,46,D,W,N,,,,,,,,,3.84,,16.75,3701,0.91,6.02,133.3,74.4,,37.6,,,,,,,,,,,,7.1,5.2,6.7,,3.41,,,465,319,167,8,1493,3.4,646,1,421,100,345,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49.7,49.8,-0.2,3432,,15,1935.4
306A,8/28/2009,46,D,W,R,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306AA,8/28/2009,46,D,W,D,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307A,8/28/2009,46,D,W,N,,,,,,,,,5.06,,15.97,3495,0.67,5.64,174.7,238,,29.4,,,,,,,,,,,,6.3,4,5,,3.08,,,360,285,204,4,1563,7.3,534,1,481,90,394,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,46.4,43.8,2.8,3058,,32,1599.9
308A,8/28/2009,46,D,W,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312AA,8/28/2009,46,D,W,R,,,,,,,,,7.53,,16.16,2881,8.05,6.88,164.9,69.4,,30.5,,,,,,,,,,,,7.7,3.3,4.4,,2.54,,,267,308,118,7,1262,20.7,424,1,348,83,285,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,36.6,35.6,1.3,2494,,91,1270.3
319A,8/29/2009,46,D,W,R,,,,,,,,,2.62,,17.13,3491,0.27,5.92,113.7,16.4,,0.4,,,,,,,,,,,,6.8,5,5.6,,3.07,,,400,247,146,10,1226,0.1,624,1,136,104,112,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41.6,43.8,-2.5,2914,,0,1869.5
350A,8/28/2009,46,D,W,R,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350C,8/28/2009,46,D,W,N,,,,,,,,,2.65,,17.02,4618,2.08,6.79,141.3,146,,30.2,,,,,,,,,,,,7.6,4.7,6.2,,3.84,,,474,438,197,14,1916,1.2,816,1,378,107,310,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,58.6,59.7,-0.9,4060,,5,2444.7
359J,8/27/2009,46,D,W,R,,,,,,,,,3.11,,17.41,3185,0.61,6.8,123.5,268,,44,,,,,,,,,,,,7.5,7.2,8.8,,4.85,,,765,361,296,15,2136,6,926,1,505,261,414,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,75.3,73.2,1.4,5006,,27,2774.3
362A,8/27/2009,46,D,W,R,,,,,,,,,,,15.15,1923,0.62,6.31,154,36.6,,13.6,,,,,,,,,,,,7,4.5,6.1,,3.31,,,405,374,146,15,1543,3.3,590,1,427,121,350,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,48.3,47,1.4,3272,,15,1767.6
363A,8/27/2009,46,D,W,R,,x,,,,,,,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375G,8/27/2009,46,D,W,D,,x,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376A,8/27/2009,46,D,W,R,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,8/28/2009,46,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D101C,8/28/2009,46,D,A,R,,,,,,,,,,,16.61,3368,7.55,7.72,83.7,54.5,,10.4,,,,,,,,,,,,8.2,4.2,5.3,2960,2.96,,,352,281,152,7,1336,1.3,551,15,312,96,280,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41.7,41.9,-0.3,2872,,6,1650.8
D102C,8/28/2009,46,D,A,R,,,,,,,,,,,21.24,2965,9.3,7.9,88.4,42.6,,8.96,,,,,,,,,,,,8.2,4.3,5.4,3090,3.09,,,365,291,155,9,1373,1.3,561,18,318,120,290,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,43.3,-0.3,2963,,6,1680.8
D103C,8/28/2009,46,D,A,R,,,,,,,,,,,23.18,3420,8.75,8.03,69.2,47.1,,10.1,,,,,,,,,,,,8.3,4.4,5.4,2990,2.99,,,364,273,148,8,1299,1.1,546,21,287,103,270,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41.5,41.4,0.1,2845,,5,1635.8
D104C,8/28/2009,46,D,A,R,,,,,,,,,,,26.74,3592,7.71,7.91,66.8,53.3,,10.4,,,,,,,,,,,,8.3,4.7,5.9,3140,3.14,,,402,284,159,9,1373,1.2,596,18,306,108,280,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44.6,45,-0.4,3077,,5,1785.6
D105C,8/28/2009,46,D,A,R,,,,,,,,,,,28.48,3.72,8.07,8.03,55.5,51.7,,10.6,,,,,,,,,,,,8.3,5,6.1,3260,3.26,,,427,285,163,9,1392,1.3,608,18,287,120,265,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46,45.7,0.3,3137,,6,1821.6
D106C,8/28/2009,46,D,A,R,,,,,,,,,,,26.37,3978,8.15,7.96,44.1,60,,14.2,,,,,,,,,,,,8.3,5.2,6.4,3.4,3.4,,,463,301,176,11,1486,1.3,673,18,300,127,275,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49.5,50.2,-0.7,3419,,6,2016.3
D12,8/28/2009,46,D,S,R,,,,,,,,FLOW RATE TOO LOW FOR YSI,,,,,,,,31,,6.79,,,,,,,,,,,,8,4.4,5.6,3280,3.28,,,391,307,170,9,1476,1.4,575,12,390,121,340,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46.2,45.4,0.9,3129,,6,1722.7
D16,8/28/2009,46,D,S,R,,,,,,,,,,,24.88,2691,10.53,7.74,57,12.8,,1.53,,,,,,,,,,,,8.2,3.3,4.3,2380,2.38,,,248,243,109,9,1062,0.1,379,18,348,73,315,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31.9,31.1,1.2,2184,,0,1135.5
D23,8/28/2009,46,D,S,R,,,,,,,,,,,,,,,,91.5,,22.4,,,,,,,,,,,,8.2,4.7,5.9,3390,3.39,,,421,318,169,9,1499,2,635,21,324,106,300,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47.9,47.7,0.3,3280,,9,1902.5
D24,8/28/2009,46,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D28,8/28/2009,46,D,S,R,,,,,,,,,,,25.93,3809,8.13,8.16,46.1,20.1,,2.82,,,,,,,,,,,,8.4,4.3,5.5,3330,3.33,,,394,338,170,13,1553,0.1,625,21,275,118,260,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,48,46.5,1.6,3202,,0,1872.5
D31,8/28/2009,46,D,S,R,,,,,,,,,,,20.3,3145,11.7,7.81,78.5,81.1,,12.2,,,,,,,,,,,,8.2,3.8,4.8,2740,2.74,,,308,264,134,11,1218,1.2,501,18,294,80,270,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37.6,38.1,-0.7,2616,,5,1501
D36,8/28/2009,46,D,S,R,,,,,,,,,,,25.61,3394,8.95,8.04,39.1,50,,10.6,,,,,,,,,,,,8.2,4.5,5.5,2990,2.99,,,371,273,148,9,1299,1,555,18,287,101,265,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41.8,41.9,-0.1,2875,,4,1662.8
D37,8/28/2009,46,D,S,R,,,,,,,,,,,24.82,3795,9.25,8.3,70.2,72.3,,29.3,,,,,,,,,,,,8.4,4.8,5.9,3340,3.34,,,419,307,162,12,1443,1.8,613,21,269,131,255,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46.8,46.1,0.7,3166,,8,1836.5
D51,8/28/2009,46,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D57,8/28/2009,46,D,S,R,,,,,,,,,,,24.07,3255,8.18,8.21,52.5,62.4,,13,,,,,,,,,,,,8.2,4.5,5.5,3030,3.03,,,374,274,152,10,1318,1,571,15,263,101,241,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42.4,42.5,-0.2,2905,,4,1710.7
D67,8/28/2009,46,D,S,R,,,,,,,,,,,26.47,3263,13.75,8.59,36.4,64.7,,12.8,,,,,,,,,,,,8.4,4.6,5.4,2850,2.85,,,365,239,137,10,1168,0.5,549,12,160,99,151,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39,39.4,-0.5,2670,,2,1644.8
D68,8/28/2009,46,D,S,R,,,,,,,,,,,19.26,4284,9.46,7.74,0.7,82.1,,14.4,,,,,,,,,,,,8.2,5,6.3,3650,3.65,,,463,339,194,15,1656,1.9,715,18,378,132,340,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,53,54.2,-1.2,3690,,8,2142.1
D7,8/28/2009,46,D,S,R,,,,,,,,,,,20.67,3429,7.82,8.07,76.7,80.9,,28.5,,,,,,,,,,,,8.3,4.1,5.2,3040,3.04,,,351,293,149,7,1353,3,540,24,294,93,280,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42,41,1.2,2843,,13,1617.8
D75,8/28/2009,46,D,S,R,,,,,,,,,,,20.07,2428,7.24,8.02,65.9,30,,6.65,,,,,,,,,,,,8.3,3.4,4.1,2180,2.18,,,239,199,105,6,935,0.6,377,15,215,67,201,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28.9,28.7,0.3,1978,,3,1129.5
D9,8/28/2009,46,D,S,R,,,,,,,,,,,15.44,3290,8.24,7.63,81,78.8,,20.6,,,,,,,,,,,,8.1,3.9,5,2930,2.93,,,331,287,148,8,1334,2.1,540,15,312,86,280,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.8,41,-0.3,2815,,9,1617.8
1,11/19/2009,47,U,W,R,,,,,,,,,1.98,,14.12,1214,0.88,5.91,-106.3,15.6,,2.22,,,,,,,,,,,,6.3,1.5,2.1,,1.21,,,82,162,37,4,559,0.1,157,1,277,28,227,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14.7,15,-0.8,1062,,0,470.4
6,11/19/2009,47,U,W,R,,,,,,,,,3.69,,14.53,2777,0,6.91,-315.7,15.9,,0.445,,,,,,,,,,,,7.5,1.4,2.3,,2.86,,,134,512,118,6,1772,0.1,565,1,949,102,778,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,41.1,53.1,-12.7,3515,,0,1692.7
8,11/19/2009,47,U,W,R,,,,,,,,,6.52,,13.9,2015,0.84,6.92,10.7,44.8,,0.4,,,,,,,,,,,,7.3,1.7,2.3,,2.13,,,134,281,105,4,1140,0.1,357,1,370,35,304,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28.4,29,-1.1,2000,,0,1069.6
11,11/19/2009,47,U,W,R,,,,,,,,,1.98,,14.91,3047,0.97,6.28,42.6,172,,8.62,,,,,,,,,,,,6.7,1.3,1.8,,3.19,,,139,517,200,1,2126,0.7,589,1,383,22,314,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,48.1,43.3,5.2,3031,,3,1764.6
12,11/19/2009,47,U,W,R,,,,,,,,,2.23,,13.74,5110,1.09,6.39,-134.4,210,,1420,,,,,,,,,,,,6.5,9.9,11,,9.92,,,1567,441,869,6,4723,13.2,1878,1,613,447,502,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,160,139.7,6.8,9629,,58,5626.5
13,11/20/2009,47,U,W,R,,,x,,,,,,3.02,,,,,,,12,,0.4,,,,,,,,,,,,7.2,2,2.5,,1.56,,,113,148,59,5,616,0.1,188,1,258,41,212,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17.2,16.9,0.7,1189,,0,563.2
17,11/20/2009,47,U,W,R,,,,,,,,,1.49,,11.14,1944,1.96,6.21,176.9,45.1,,12,,,,,,,,,,,,6.6,1.9,2.6,,2.07,,,135,251,87,1,990,3.9,258,1,507,40,416,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,25.4,25.5,-0.2,1812,,17,773
20,11/19/2009,47,U,W,R,,,,,,,,,1.04,,13.88,18870,1.1,6.51,-74,374,,74.6,,,,,,,,,,,,6.7,18.5,19.9,,16.4,,,3591,453,1438,2,7124,1.5,3434,1,955,515,783,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,293.6,242.7,9.5,17252,,7,10288.3
21,11/19/2009,47,U,W,R,,,,,,,,,1.43,,14.37,3124,0.44,6.41,-252.1,65.6,,1.68,,,,,,,,,,,,6.7,2.8,4.1,,3.62,,,269,440,147,5,1713,0.1,493,1,557,79,457,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,45.6,41.7,4.5,2976,,0,1477
22,11/19/2009,47,U,W,R,,,,,,,,,1.77,,14.62,3684,2.2,6.58,126.8,95.1,,52,,,,,,,,,,,,6.8,3.8,4.8,,4.13,,,393,425,240,2,2063,5.6,682,1,439,124,360,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,57.6,53.2,4,3692,,25,2043.3
24,11/20/2009,47,U,W,R,,,,,,,,,2.38,,13.09,772,0.51,5.99,-217.7,19.9,,1.62,,,,,,,,,,,,6.3,1.6,2.3,,1.86,,,104,204,66,6,785,0.3,166,1,601,33,492,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,20.2,20.9,-1.7,1514,,1,497.3
27,11/19/2009,47,U,W,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11/19/2009,47,U,W,R,,,,,,,x,,2.8,,14.57,2591,2.67,6.51,100.8,99.3,94.3,313,295,,,,,,,,,,,6.9,6,7.7,,5.37,,,699,518,311,1,2591,24.3,979,1,532,132,436,0.74,,,,,,,,,,,,,,,,,,,6.8,5.9,7.7,,5.28,,,685,517,299,1,2538,22.6,973,1,538,132,441,0.72,,,,,,,,,,,,,,,,,,,1,81.2,74.6,4.2,5235,,107,2933.1
29,11/19/2009,47,U,W,R,,,,,,,,,1.92,,14.01,1942,1.59,5.64,-57.4,95.7,,48.6,,,,,,,,,,,,6,3.2,4.2,,4.17,,,363,525,255,3,2375,17.9,756,1,352,63,288,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,62.6,55.5,6,3906,,79,2265
31,11/20/2009,47,U,W,R,,,,,,,,,1.31,,14.04,2672,0.06,6.02,-247.2,4.9,,0.4,,,,,,,,,,,,6.3,3.7,5.1,,3.09,,,308,294,137,4,1306,0.1,368,1,862,109,706,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,39.1,39.7,-0.7,2818,,0,1102.5
33,11/19/2009,47,U,W,R,,,,,,,x,,5.94,,13.4,2483,5.04,6.39,59.5,52.8,50.6,19.4,19.5,,,,,,,,,,,6.6,1.6,2.3,,2.93,,,154,453,134,3,1691,6.6,472,1,277,48,227,0.2,,,,,,,,,,,,,,,,,,,6.5,1.6,2.3,,2.91,,,152,460,132,3,1700,6.4,489,1,296,47,242,0.2,,,,,,,,,,,,,,,,,,,1.3,40.2,35.5,6.2,2513,,29,1414.1
35,11/19/2009,47,U,W,R,,,,,,,,,1.77,,14.39,2850,6.37,6.66,106.3,71.2,,22.8,,,,,,,,,,,,7,1.4,2.4,,3.01,,,144,614,84,1,1885,4.4,541,1,283,39,232,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,43.7,39.5,5.1,2806,,19,1620.8
37,11/20/2009,47,U,W,R,,,,,,,,,5.18,,15.55,1894,2.66,6.69,74.4,44.6,,31.6,,,,,,,,,,,,7.2,2.9,3.9,,2.01,,,190,193,74,1,791,3.9,256,1,333,52,273,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23.8,22.9,1.9,1628,,17,767
38,11/20/2009,47,U,W,R,,,,,,,,,1.98,,14.5,683,0.85,5.96,28.3,16.3,,32.8,,,,,,,,,,,,6.2,1.7,2.1,,1.48,,,98,155,54,4,613,1.4,187,1,221,38,181,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.4,16.3,0.5,1138,,6,560.3
39,11/20/2009,47,U,W,R,,,,,,,,,1.55,,13.17,2729,1.35,6.49,-54.6,27.6,,9.18,,,,,,,,,,,,6.8,3.5,4.9,,2.8,,,279,319,102,4,1223,1.1,447,1,420,70,344,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36.3,36.5,-0.2,2539,,5,1339.2
41,11/20/2009,47,U,W,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/20/2009,47,U,W,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11/20/2009,47,U,W,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,11/19/2009,47,U,W,R,,,,,,,,,8.05,,14.57,1246,3.6,6.13,138,9.8,,6.92,,,,,,,,,,,,6.3,0.8,1.3,,1.74,,,56,309,41,9,943,3.8,216,1,426,16,349,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,21.4,20.9,1.2,1522,,17,647.1
45,11/19/2009,47,U,W,R,,,,,,,,,8.05,,14.57,1246,3.6,6.13,138,9.8,,6.92,,,,,,,,,,,,6.3,0.8,1.3,,1.74,,,56,309,41,9,943,3.8,216,1,426,16,349,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,21.4,20.9,1.2,1522,,17,647.1
